page_url,page_teams
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/french-centre/repsit/french-centre-repsit-journaux-et-medias,FRENCH CENTRE - 54
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/french-centre/repsit/librairies-bibliotheques-et-maisons-dedition,FRENCH CENTRE - 54
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/french-centre/repsit/linguistique,FRENCH CENTRE - 54
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/french-centre/repsit/french-centre-repsit-litterature,FRENCH CENTRE - 54
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/french-centre/repsit/litterature-jeunesse,FRENCH CENTRE - 54
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/french-centre/repsit/musique,FRENCH CENTRE - 54
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/french-centre/repsit/french-centre-repsit-pedagogie,FRENCH CENTRE - 54
https://arts.ucalgary.ca/sociology/future-students/graduate/recent-graduates/ma-graduates,ARTS - 1
https://arts.ucalgary.ca/sociology/future-students/graduate/recent-graduates/phd-graduates,ARTS - 1
https://arts.ucalgary.ca/sociology/future-students/graduate/recent-graduates/past-postdoc-placements,ARTS - 1
https://arts.ucalgary.ca/sociology/current-students/graduate/funding/departmental-scholarships-and-awards,ARTS - 1
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/current-students/undergraduate/student-clubs,FRENCH CENTRE - 54
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/future-students/graduate/how-apply,FRENCH CENTRE - 54
https://arts.ucalgary.ca/economics/future-students/graduate/job-placements,ARTS - 1
https://arts.ucalgary.ca/economics/future-students/graduate/programs/master-arts-ma,ARTS - 1
https://arts.ucalgary.ca/economics/future-students/graduate/programs/doctor-philosophy-phd,ARTS - 1
https://arts.ucalgary.ca/economics/current-students/undergraduate/presentations,ARTS - 1
https://arts.ucalgary.ca/economics/contact,ECON - 27
https://arts.ucalgary.ca/economics/research/research-conferences-workshops/inaugural-alumni-conference,ECON - 27
https://arts.ucalgary.ca/centre-military-security-strategic-studies/contact,CMSS - 25
https://arts.ucalgary.ca/centre-military-security-strategic-studies/future-students/fees-and-funding,CMSS - 25
https://arts.ucalgary.ca/centre-military-security-strategic-studies/future-students/how-apply,CMSS - 25
https://arts.ucalgary.ca/centre-military-security-strategic-studies/future-students/graduate-programs/master-strategic-studies,CMSS - 25
https://arts.ucalgary.ca/centre-military-security-strategic-studies/future-students/fees-and-funding/funding-policy,CMSS - 25
https://arts.ucalgary.ca/calgary-institute-humanities/news-and-publications/newsletter,CIH - 24
https://arts.ucalgary.ca/centre-military-security-strategic-studies/future-students/graduate-programs/MSS-Thesis-Requirements,CMSS - 25
https://arts.ucalgary.ca/history/current-students/graduate/graduate-student-handbook,HIST - 29
https://arts.ucalgary.ca/history/current-students/undergraduate/student-handbook,ARTS - 1
https://arts.ucalgary.ca/history/current-students/undergraduate/honours-application-process,ARTS - 1
https://arts.ucalgary.ca/history/news,HIST - 29
https://arts.ucalgary.ca/centre-military-security-strategic-studies/research/publications/documents-canadian-arctic-sovereignty-and-security,CMSS - 25
https://arts.ucalgary.ca/centre-military-security-strategic-studies/research/publications/journal-military-and-strategic-studies,CMSS - 25
https://arts.ucalgary.ca/art-art-history/about/facilities/studio-workshop-and-technical-resources/sculpture,ART & ART HIST - 36
https://arts.ucalgary.ca/art-art-history/about/facilities/studio-workshop-and-technical-resources/wood-and-metal-workshops,ART & ART HIST - 36
https://arts.ucalgary.ca/art-art-history/about/facilities/studio-workshop-and-technical-resources/animation-studio,ART & ART HIST - 36
https://arts.ucalgary.ca/art-art-history/about/facilities/studio-workshop-and-technical-resources/litho-studio,ART & ART HIST - 36
https://arts.ucalgary.ca/art-art-history/about/facilities/studio-workshop-and-technical-resources/etching-studio,ART & ART HIST - 36
https://arts.ucalgary.ca/art-art-history/about/facilities/studio-workshop-and-technical-resources/photography-studio,ART & ART HIST - 36
https://arts.ucalgary.ca/international-indigenous-studies/contact,IIS - 30
https://arts.ucalgary.ca/international-indigenous-studies/current-students/courses,IIS - 30
https://arts.ucalgary.ca/international-indigenous-studies/contact/indigenous-supports-campus,IIS - 30
https://arts.ucalgary.ca/international-indigenous-studies/contact/indigenous-supports-campus-0,IIS - 30
https://arts.ucalgary.ca/centre-military-security-strategic-studies/future-students/faqs,CMSS - 25
https://arts.ucalgary.ca/creative-performing-arts/news-and-events/school-events/2020-21-online-performances,SCPA - 26
https://arts.ucalgary.ca/calgary-institute-humanities/working-groups-and-research/interdisciplinary-working-groups/cih-working-groups-and-research-working-groups-2019-20-archives,CIH - 24
https://arts.ucalgary.ca/calgary-institute-humanities/contact,CIH - 24
https://arts.ucalgary.ca/political-science/current-students/undergraduate/political-science-program-requirements/ba-honours-political-science,POLI - 9
https://arts.ucalgary.ca/about/about-faculty/equity-diversity-inclusion-accessibiliy,ARTS - 1
https://arts.ucalgary.ca/classics-religion/research/expanding-sikh-studies,CLARE - 2
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/conferences/ICCSLTE2022/ICCSLTE2022,FRENCH CENTRE - 54
https://arts.ucalgary.ca/calgary-institute-humanities/working-groups-and-research/publication-support,CIH - 24
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/conferences/ICCSLTE2022/main,FRENCH CENTRE - 54
https://arts.ucalgary.ca/languages-linguistics-literatures-cultures/conferences/ICCSLTE2022/HighlightedSpeakers,FRENCH CENTRE - 54
